Crop,Crop_Year,Season,State/UT,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield
Arecanut,1997,Whole Year,Assam,73814.0,56708.0,2051.4,7024878.38,22882.34,0.796086957
Arhar/Tur,1997,Monsoon,Assam,6637.0,4685.0,2051.4,631643.29,2057.47,0.710434783
Castor Seed,1997,Monsoon,Assam,796.0,22.0,2051.4,75755.32,246.76,0.238333333
Coconut,1997,Whole Year,Assam,19656.0,339962.5,2051.4,1870661.52,6093.36,5.42072281
Cotton (Lint),1997,Monsoon,Assam,1739.0,794.0,2051.4,165500.63,539.09,0.420909091
Dry Chillies,1997,Whole Year,Assam,13587.0,9073.0,2051.4,1293074.79,4211.97,0.643636364
Gram,1997,Winter,Assam,2979.0,1507.0,2051.4,283511.43,923.49,0.465454545
Jute,1997,Monsoon,Assam,94520.0,339962.5,2051.4,8995468.4,29301.2,5.42072281
Linseed,1997,Winter,Assam,10098.0,5158.0,2051.4,961026.66,3130.38,0.461363636
Maize,1997,Monsoon,Assam,19216.0,14721.0,2051.4,1828786.72,5956.96,0.615652174
Mesta,1997,Monsoon,Assam,5915.0,29003.0,2051.4,562930.55,1833.65,4.568947368
Niger Seed,1997,Whole Year,Assam,9914.0,5076.0,2051.4,943515.38,3073.34,0.482352941
Onion,1997,Whole Year,Assam,7832.0,17943.0,2051.4,745371.44,2427.92,2.342608696
Potato,1997,Whole Year,Assam,75259.0,339962.5,2051.4,7162399.03,23330.29,5.42072281
Rapeseed & Mustard,1997,Winter,Assam,202534.5,154772.0,2051.4,26580219.64,52935.74,0.554782609
Rice,1997,Autumn,Assam,202534.5,339962.5,2051.4,26583568.25,52935.74,0.780869565
Rice,1997,Summer,Assam,174974.0,209623.0,2051.4,16652275.58,52935.74,1.060434783
Rice,1997,Winter,Assam,202534.5,339962.5,2051.4,26583568.25,52935.74,0.941304348
Sesamum,1997,Whole Year,Assam,15765.0,8257.0,2051.4,1500355.05,4887.15,0.487391304
Small Millets,1997,Monsoon,Assam,10490.0,5391.0,2051.4,998333.3,3251.9,0.473
Sugarcane,1997,Monsoon,Assam,31318.0,339962.5,2051.4,2980534.06,9708.58,5.42072281
Sweet Potato,1997,Whole Year,Assam,9380.0,32618.0,2051.4,892694.6,2907.8,3.440434783
Tapioca,1997,Whole Year,Assam,2465.0,11728.0,2051.4,234594.05,764.15,4.41826087
Tobacco,1997,Whole Year,Assam,433.0,26.0,2051.4,41208.61,134.23,0.38
Turmeric,1997,Whole Year,Assam,10071.0,6974.0,2051.4,958457.07,3122.01,0.67
Wheat,1997,Winter,Assam,84698.0,110054.0,2051.4,8060708.66,26256.38,1.25952381
Arecanut,1997,Whole Year,Karnataka,93100.0,133342.0,1266.7,8860327.0,28861.0,1.293571429
Arhar/Tur,1997,Monsoon,Karnataka,202534.5,98473.0,1266.7,26583568.25,52935.74,0.268235294
Bajra,1997,Monsoon,Karnataka,202534.5,132056.0,1266.7,26583568.25,52935.74,0.404545455
Bajra,1997,Summer,Karnataka,820.0,662.0,1266.7,78039.4,254.2,0.81
Black Pepper,1997,Monsoon,Karnataka,3825.0,924.0,1266.7,364025.25,1185.75,0.4375
Cardamom,1997,Whole Year,Karnataka,21230.0,1214.0,1266.7,2020459.1,6581.3,0.058571429
Coriander,1997,Whole Year,Karnataka,17317.0,2853.0,1266.7,1648058.89,5368.27,0.121333333
Dry Chillies,1997,Monsoon,Karnataka,186579.0,139206.0,1266.7,17756723.43,52935.74,1.078333333
Dry Chillies,1997,Winter,Karnataka,4565.0,7895.0,1266.7,434451.05,1415.15,1.869444444
Garlic,1997,Whole Year,Karnataka,5061.0,3799.0,1266.7,481655.37,1568.91,1.585
Ginger,1997,Monsoon,Karnataka,3619.0,4745.0,1266.7,344420.23,1121.89,1.262307692
Groundnut,1997,Monsoon,Karnataka,202534.5,339962.5,1266.7,26583568.25,52935.74,0.709411765
Groundnut,1997,Winter,Karnataka,192416.0,181071.0,1266.7,18312230.72,52935.74,1.133333333
Horse-Gram,1997,Monsoon,Karnataka,178872.0,80124.0,1266.7,17023248.24,52935.74,0.45
Horse-Gram,1997,Winter,Karnataka,163173.0,82572.0,1266.7,15529174.41,50583.63,0.514705882
Jowar,1997,Monsoon,Karnataka,202534.5,339962.5,1266.7,26583568.25,52935.74,1.228
Jowar,1997,Winter,Karnataka,202534.5,339962.5,1266.7,26583568.25,52935.74,0.510714286
Jowar,1997,Summer,Karnataka,6137.0,15135.0,1266.7,584058.29,1902.47,2.470909091
Maize,1997,Monsoon,Karnataka,202534.5,339962.5,1266.7,26583568.25,52935.74,2.687777778
Maize,1997,Winter,Karnataka,48844.0,98932.0,1266.7,4648483.48,15141.64,1.98
Maize,1997,Summer,Karnataka,9730.0,20893.0,1266.7,926004.1,3016.3,2.165714286
Ragi,1997,Monsoon,Karnataka,202534.5,339962.5,1266.7,26583568.25,52935.74,1.191333333
Ragi,1997,Winter,Karnataka,27104.0,33696.0,1266.7,2579487.68,8402.24,1.312222222
Ragi,1997,Summer,Karnataka,13521.0,25035.0,1266.7,1286793.57,4191.51,1.847777778
Rice,1997,Monsoon,Karnataka,202534.5,339962.5,1266.7,26583568.25,52935.74,2.2335
Rice,1997,Winter,Karnataka,53889.0,109350.0,1266.7,5128616.13,16705.59,2.073846154
Rice,1997,Summer,Karnataka,202534.5,339962.5,1266.7,25509747.48,52935.74,2.829444444
Sugarcane,1997,Whole Year,Karnataka,202534.5,339962.5,1266.7,26583568.25,52935.74,5.42072281
Turmeric,1997,Whole Year,Karnataka,4342.0,24108.0,1266.7,413228.14,1346.02,4.452941176
Wheat,1997,Winter,Karnataka,202534.5,118512.0,1266.7,23858928.66,52935.74,0.548333333
Arecanut,1997,Whole Year,Kerala,76145.0,93995.0,2681.1,7246719.65,23604.95,1.147857143
Black Pepper,1997,Whole Year,Kerala,173855.0,55520.0,2681.1,16545780.35,52935.74,0.240714286
Cashewnut,1997,Whole Year,Kerala,96073.0,74142.0,2681.1,9143267.41,29782.63,0.589285714
Coconut,1997,Whole Year,Kerala,202534.5,339962.5,2681.1,26583568.25,52935.74,5.42072281
Tapioca,1997,Whole Year,Kerala,132875.0,339962.5,2681.1,12645713.75,41191.25,5.42072281
Arecanut,1997,Whole Year,Meghalaya,9569.0,12116.0,2681.1,910681.73,2966.39,1.245714286
Arhar/Tur,1997,Monsoon,Meghalaya,865.0,683.0,2681.1,82322.05,268.15,0.806666667
Banana,1997,Whole Year,Meghalaya,5239.0,63011.0,2681.1,498595.63,1624.09,5.42072281
Castor Seed,1997,Winter,Meghalaya,30.0,15.0,2681.1,2855.1,9.3,0.49
Cotton (Lint),1997,Monsoon,Meghalaya,7544.0,5590.0,2681.1,717962.48,2338.64,0.796666667
Dry Chillies,1997,Whole Year,Meghalaya,1766.0,1106.0,2681.1,168070.22,547.46,0.64
Ginger,1997,Monsoon,Meghalaya,7357.0,45260.0,2681.1,700165.69,2280.67,5.42072281
Gram,1997,Winter,Meghalaya,443.0,270.0,2681.1,42160.31,137.33,0.613333333
